ID,AUTOR,LIVRO,ESTANTE,VOLUME,EXEMPLAR,CIDADE,EDITORA,ANO,ORIGEM,CÓDIGO,DATA,*ADAPTADO POR
16,"ODA, Eiichiro",ONE PIECE,1,16,1,TOKIO,SHUEISHA,1997,DOAÇÃO,OP,05/08/25,
17,"ODA, Eiichiro",ONE PIECE,1,17,1,TOKIO,SHUEISHA,1997,DOAÇÃO,OP,05/08/25,
18,"ODA, Eiichiro",ONE PIECE,1,18,1,TOKIO,SHUEISHA,1997,DOAÇÃO,OP,05/08/25,
19,"ODA, Eiichiro",ONE PIECE,1,19,1,TOKIO,SHUEISHA,1997,DOAÇÃO,OP,05/08/25,
20,"ODA, Eiichiro",ONE PIECE,1,20,1,TOKIO,SHUEISHA,1997,DOAÇÃO,OP,05/08/25,
21,"ODA, Eiichiro",ONE PIECE,1,21,1,TOKIO,SHUEISHA,1997,DOAÇÃO,OP,05/08/25,
22,"ODA, Eiichiro",ONE PIECE,1,22,1,TOKIO,SHUEISHA,1997,DOAÇÃO,OP,05/08/25,
23,"ODA, Eiichiro",ONE PIECE,1,23,1,TOKIO,SHUEISHA,1997,DOAÇÃO,OP,05/08/25,
24,"ODA, Eiichiro",ONE PIECE,1,24,1,TOKIO,SHUEISHA,1997,DOAÇÃO,OP,05/08/25,
25,"ODA, Eiichiro",ONE PIECE,1,25,1,TOKIO,SHUEISHA,1997,DOAÇÃO,OP,05/08/25,
26,"ODA, Eiichiro",ONE PIECE,1,26,1,TOKIO,SHUEISHA,1997,DOAÇÃO,OP,05/08/25,
27,"ODA, Eiichiro",ONE PIECE,1,27,1,TOKIO,SHUEISHA,1997,DOAÇÃO,OP,05/08/25,
28,"ODA, Eiichiro",ONE PIECE,1,28,1,TOKIO,SHUEISHA,1997,DOAÇÃO,OP,05/08/25,
29,"ODA, Eiichiro",ONE PIECE,1,29,1,TOKIO,SHUEISHA,1997,DOAÇÃO,OP,05/08/25,
30,"ODA, Eiichiro",ONE PIECE,1,30,1,TOKIO,SHUEISHA,1997,DOAÇÃO,OP,05/08/25,
31,"ODA, Eiichiro",ONE PIECE,1,31,1,TOKIO,SHUEISHA,1997,DOAÇÃO,OP,05/08/25,
32,"ODA, Eiichiro",ONE PIECE,1,32,1,TOKIO,SHUEISHA,1997,DOAÇÃO,OP,05/08/25,
33,"ODA, Eiichiro",ONE PIECE,1,33,1,TOKIO,SHUEISHA,1997,DOAÇÃO,OP,05/08/25,
34,"ODA, Eiichiro",ONE PIECE,1,34,1,TOKIO,SHUEISHA,1997,DOAÇÃO,OP,05/08/25,
35,"ODA, Eiichiro",ONE PIECE,1,35,1,TOKIO,SHUEISHA,1997,DOAÇÃO,OP,05/08/25,
36,"ODA, Eiichiro",ONE PIECE,1,36,1,TOKIO,SHUEISHA,1997,DOAÇÃO,OP,05/08/25,
37,"ODA, Eiichiro",ONE PIECE,1,37,1,TOKIO,SHUEISHA,1997,DOAÇÃO,OP,05/08/25,
38,"ODA, Eiichiro",ONE PIECE,1,38,1,TOKIO,SHUEISHA,1997,DOAÇÃO,OP,05/08/25,
39,"ODA, Eiichiro",ONE PIECE,1,39,1,TOKIO,SHUEISHA,1997,DOAÇÃO,OP,05/08/25,
40,"ODA, Eiichiro",ONE PIECE,1,40,1,TOKIO,SHUEISHA,1997,DOAÇÃO,OP,05/08/25,
41,"ODA, Eiichiro",ONE PIECE,1,41,1,TOKIO,SHUEISHA,1997,DOAÇÃO,OP,05/08/25,
42,"ODA, Eiichiro",ONE PIECE,1,42,1,TOKIO,SHUEISHA,1997,DOAÇÃO,OP,05/08/25,
43,"ODA, Eiichiro",ONE PIECE,1,43,1,TOKIO,SHUEISHA,1997,DOAÇÃO,OP,05/08/25,
44,"ODA, Eiichiro",ONE PIECE,1,44,1,TOKIO,SHUEISHA,1997,DOAÇÃO,OP,05/08/25,
45,"ODA, Eiichiro",ONE PIECE,1,45,1,TOKIO,SHUEISHA,1997,DOAÇÃO,OP,05/08/25,
46,"ODA, Eiichiro",ONE PIECE,1,46,1,TOKIO,SHUEISHA,1997,DOAÇÃO,OP,05/08/25,
47,"ODA, Eiichiro",ONE PIECE,1,47,1,TOKIO,SHUEISHA,1997,DOAÇÃO,OP,05/08/25,
48,"ODA, Eiichiro",ONE PIECE,1,48,1,TOKIO,SHUEISHA,1997,DOAÇÃO,OP,05/08/25,
49,"ODA, Eiichiro",ONE PIECE,1,49,1,TOKIO,SHUEISHA,1997,DOAÇÃO,OP,05/08/25,
50,"ODA, Eiichiro",ONE PIECE,1,50,1,TOKIO,SHUEISHA,1997,DOAÇÃO,OP,05/08/25,
51,"ODA, Eiichiro",ONE PIECE,1,51,1,TOKIO,SHUEISHA,1997,DOAÇÃO,OP,05/08/25,
52,"ODA, Eiichiro",ONE PIECE,1,52,1,TOKIO,SHUEISHA,1997,DOAÇÃO,OP,05/08/25,
53,"ODA, Eiichiro",ONE PIECE,1,53,1,TOKIO,SHUEISHA,1997,DOAÇÃO,OP,05/08/25,
54,"ODA, Eiichiro",ONE PIECE,1,54,1,TOKIO,SHUEISHA,1997,DOAÇÃO,OP,05/08/25,
55,"ODA, Eiichiro",ONE PIECE,1,55,1,TOKIO,SHUEISHA,1997,DOAÇÃO,OP,05/08/25,
56,"ODA, Eiichiro",ONE PIECE,1,56,1,TOKIO,SHUEISHA,1997,DOAÇÃO,OP,05/08/25,
57,"ODA, Eiichiro",ONE PIECE,1,57,1,TOKIO,SHUEISHA,1997,DOAÇÃO,OP,05/08/25,
58,"ODA, Eiichiro",ONE PIECE,1,58,1,TOKIO,SHUEISHA,1997,DOAÇÃO,OP,05/08/25,
59,"ODA, Eiichiro",ONE PIECE,1,64,1,TOKIO,SHUEISHA,1997,DOAÇÃO,OP,12/09/25,
60,,,1,,,,,,,,,
61,"KISHIMOTO, Masashi",NARUTO,1,9,1,SP,PANINI COMICS,2008,DOAÇÃO,NAR,12/09/25,
62,"KISHIMOTO, Masashi",NARUTO,1,32,1,SP,PANINI COMICS,2008,DOAÇÃO,NAR,12/09/25,
63,"KISHIMOTO, Masashi",NARUTO,1,43,1,SP,PANINI COMICS,2008,DOAÇÃO,NAR,12/09/25,
64,"KISHIMOTO, Masashi",NARUTO,1,56,1,SP,PANINI COMICS,2008,DOAÇÃO,NAR,12/09/25,
65,"MATSUI, Yusei",ASSASSINATIONS CLASSROOM,1,10,1,SP,PANINI COMICS,2014,DOAÇÃO,ASC,12/09/25,
66,"MATSUI, Yusei",ASSASSINATIONS CLASSROOM,1,10,2,SP,PANINI COMICS,2014,DOAÇÃO,ASC,12/09/25,
67,"SAMURA, Hiroaki",BLADE: a lâmina mortal,1,2,1,SP,JBC,2013,DOAÇÃO,BLA,12/09/25,
68,"""BUSTERS, Cho-Heiwa"," IZUMI, Mitsu""",ANOHANA,1,1,1,SP,JBC,2011,DOAÇÃO,ANO,12/09/25
69,,,1,,,,,,,,,
70,"SOUSA, Maurício",TURMA DA MÔNICA,1,38,1,SP,PANINI COMICS,2010,DOAÇÃO,TDM,12/09/25,
71,"SOUSA, Maurício",TURMA DA MÔNICA,1,46,1,SP,PANINI COMICS,2013,DOAÇÃO,TDM,12/09/25,
72,"SOUSA, Maurício",TURMA DA MÔNICA,1,64,1,SP,PANINI COMICS,2012,DOAÇÃO,TDM,12/09/25,
73,"SOUSA, Maurício",TURMA DA MÔNICA,1,96,1,SP,PANINI COMICS,2014,DOAÇÃO,TDM,12/09/25,
74,"SOUSA, Maurício",TURMA DA MÔNICA - JOVEM,1,13,1,SP,PANINI COMICS,2009,DOAÇÃO,TDM,12/09/25,
75,"SOUSA, Maurício",TURMA DA MÔNICA - JOVEM,1,25,1,SP,PANINI COMICS,2010,DOAÇÃO,TDM,12/09/25,
76,"SOUSA, Maurício",TURMA DA MÔNICA - JOVEM,1,37,1,SP,PANINI COMICS,2011,DOAÇÃO,TDM,12/09/25,
77,"SOUSA, Maurício",TURMA DA MÔNICA - JOVEM,1,54,1,SP,PANINI COMICS,2013,DOAÇÃO,TDM,12/09/25,
78,"SOUSA, Maurício",TURMA DA MÔNICA - JOVEM,1,57,1,SP,PANINI COMICS,2013,DOAÇÃO,TDM,12/09/25,
79,"SOUSA, Maurício",TURMA DA MÔNICA - JOVEM,1,92,1,SP,PANINI COMICS,2016,DOAÇÃO,TDM,12/09/25,
80,"SOUSA, Maurício",TURMA DA MÔNICA - JOVEM,1,92,2,SP,PANINI COMICS,2016,DOAÇÃO,TDM,12/09/25,
81,"SOUSA, Maurício",CHICO BENTO MOÇO,1,19,1,SP,PANINI COMICS,2015,DOAÇÃO,TDM,12/09/25,
82,"SOUSA, Maurício",CHICO BENTO MOÇO,1,20,1,SP,PANINI COMICS,2015,DOAÇÃO,TDM,12/09/25,
83,"SOUSA, Maurício",CHICO BENTO MOÇO,1,23,1,SP,PANINI COMICS,2015,DOAÇÃO,TDM,12/09/25,
84,"SOUSA, Maurício",CHICO BENTO MOÇO,1,25,1,SP,PANINI COMICS,2015,DOAÇÃO,TDM,12/09/25,
85,"SOUSA, Maurício",CHICO BENTO MOÇO,1,26,1,SP,PANINI COMICS,2015,DOAÇÃO,TDM,12/09/25,
86,"SOUSA, Maurício",CHICO BENTO MOÇO,1,27,1,SP,PANINI COMICS,2015,DOAÇÃO,TDM,12/09/25,
87,"SOUSA, Maurício",CHICO BENTO MOÇO,1,30,1,SP,PANINI COMICS,2016,DOAÇÃO,TDM,12/09/25,
88,"SOUSA, Maurício",CHICO BENTO MOÇO,1,31,1,SP,PANINI COMICS,2016,DOAÇÃO,TDM,12/09/25,
89,"SOUSA, Maurício",CHICO BENTO MOÇO,1,38,1,SP,PANINI COMICS,2016,DOAÇÃO,TDM,12/09/25,
90,,,1,,,,,,,,,
91,"LEMIRE, Jeff",O VELHO LOGAN,1,20,1,SP,PANINI COMICS,2018,DOAÇÃO,OVL,12/09/25,
92,"LEMIRE, Jeff",O VELHO LOGAN,1,23,1,SP,PANINI COMICS,2018,DOAÇÃO,OVL,12/09/25,
93,"LEMIRE, Jeff",O VELHO LOGAN,1,24,1,SP,PANINI COMICS,2018,DOAÇÃO,OVL,12/09/25,
94,"LEMIRE, Jeff",O VELHO LOGAN,1,26,1,SP,PANINI COMICS,2018,DOAÇÃO,OVL,12/09/25,
95,"LEMIRE, Jeff",O VELHO LOGAN,1,27,1,SP,PANINI COMICS,2018,DOAÇÃO,OVL,12/09/25,
96,"LEMIRE, Jeff",O VELHO LOGAN,1,28,1,SP,PANINI COMICS,2018,DOAÇÃO,OVL,12/09/25,
97,"JURGENS, Dan",SUPERMAN: a ameaça do erradxicador,1,2,1,SP,PANINI COMICS,2017,DOAÇÃO,SUP,12/09/25,
98,"AARON, Jason",ATARS WARS: à mercê de Darth Vader,1,2,1,SP,PANINI COMICS,2015,DOAÇÃO,STW,12/09/25,
99,"AARON, Jason",PECADOS ORIGINAIS,1,3,1,SP,PANINI COMICS,2015,DOAÇÃO,PEO,12/09/25,
100,,,1,,,,,,,,,
QUADRINHOS,,,,,,,,,,,,
,,,,,,,,,,,,
100.1,"JUNIOR, Itamar Vieira",TORTO ARADO,1,,1,SÃO PAULO,EMBIRA,2021,DOAÇÃO,100TA,24/06/25,
100.2,"JUNIOR, Itamar Vieira",TORTO ARADO,1,,2,SÃO PAULO,EMBIRA,2021,DOAÇÃO,100TA,24/06/25,
100.3,"JUNIOR, Itamar Vieira",TORTO ARADO,1,,3,SÃO PAULO,EMBIRA,2021,DOAÇÃO,100TA,24/06/25,
100.4,"JUNIOR, Itamar Vieira",TORTO ARADO,1,,4,SÃO PAULO,EMBIRA,2021,DOAÇÃO,100TA,24/06/25,
100.5,"JUNIOR, Itamar Vieira",TORTO ARADO,1,,5,SÃO PAULO,EMBIRA,2021,DOAÇÃO,100TA,24/06/25,
100.6,"JUNIOR, Itamar Vieira",TORTO ARADO,1,,6,SÃO PAULO,EMBIRA,2021,DOAÇÃO,100TA,24/06/25,
100.7,"JUNIOR, Itamar Vieira",TORTO ARADO,1,,7,SÃO PAULO,EMBIRA,2021,DOAÇÃO,100TA,24/06/25,
100.8,"JUNIOR, Itamar Vieira",TORTO ARADO,1,,8,SÃO PAULO,EMBIRA,2021,DOAÇÃO,100TA,24/06/25,
100.9,"JUNIOR, Itamar Vieira",TORTO ARADO,1,,9,SÃO PAULO,EMBIRA,2021,DOAÇÃO,100TA,24/06/25,
100.10,"JUNIOR, Itamar Vieira",TORTO ARADO,1,,10,SÃO PAULO,EMBIRA,2021,DOAÇÃO,100TA,24/06/25,
100.11,"JUNIOR, Itamar Vieira",TORTO ARADO,1,,11,SÃO PAULO,EMBIRA,2021,DOAÇÃO,100TA,24/06/25,
100.12,"JUNIOR, Itamar Vieira",TORTO ARADO,1,,12,SÃO PAULO,EMBIRA,2021,DOAÇÃO,100TA,24/06/25,
100.13,"JUNIOR, Itamar Vieira",TORTO ARADO,1,,13,SÃO PAULO,EMBIRA,2021,DOAÇÃO,100TA,24/06/25,
100.14,"JUNIOR, Itamar Vieira",TORTO ARADO,1,,14,SÃO PAULO,EMBIRA,2021,DOAÇÃO,100TA,24/06/25,
100.15,"JUNIOR, Itamar Vieira",TORTO ARADO,1,,15,SÃO PAULO,EMBIRA,2021,DOAÇÃO,100TA,24/06/25,
100.16,"JUNIOR, Itamar Vieira",TORTO ARADO,1,,16,SÃO PAULO,EMBIRA,2021,DOAÇÃO,100TA,24/06/25,
100.17,"JUNIOR, Itamar Vieira",TORTO ARADO,1,,17,SÃO PAULO,EMBIRA,2021,DOAÇÃO,100TA,24/06/25,
100.18,"JUNIOR, Itamar Vieira",TORTO ARADO,1,,18,SÃO PAULO,EMBIRA,2021,DOAÇÃO,100TA,24/06/25,
100.19,"JUNIOR, Itamar Vieira",TORTO ARADO,1,,19,SÃO PAULO,EMBIRA,2021,DOAÇÃO,100TA,24/06/25,
100.20,"JUNIOR, Itamar Vieira",TORTO ARADO,1,,20,SÃO PAULO,EMBIRA,2021,DOAÇÃO,100TA,24/06/25,
100.21,"JUNIOR, Itamar Vieira",TORTO ARADO,1,,21,SÃO PAULO,EMBIRA,2021,DOAÇÃO,100TA,24/06/25,
100.22,"JUNIOR, Itamar Vieira",TORTO ARADO,1,,22,SÃO PAULO,EMBIRA,2021,DOAÇÃO,100TA,24/06/25,
100.23,"JUNIOR, Itamar Vieira",TORTO ARADO,1,,23,SÃO PAULO,EMBIRA,2021,DOAÇÃO,100TA,24/06/25,
100.24,"JUNIOR, Itamar Vieira",TORTO ARADO,1,,24,SÃO PAULO,EMBIRA,2021,DOAÇÃO,100TA,24/06/25,
100.25,"JUNIOR, Itamar Vieira",TORTO ARADO,1,,25,SÃO PAULO,EMBIRA,2021,DOAÇÃO,100TA,24/06/25,
100.26,"JUNIOR, Itamar Vieira",TORTO ARADO,1,,26,SÃO PAULO,EMBIRA,2021,DOAÇÃO,100TA,24/06/25,
100.27,"JUNIOR, Itamar Vieira",TORTO ARADO,1,,27,SÃO PAULO,EMBIRA,2021,DOAÇÃO,100TA,24/06/25,
100.28,"JUNIOR, Itamar Vieira",TORTO ARADO,1,,28,SÃO PAULO,EMBIRA,2021,DOAÇÃO,100TA,24/06/25,
100.29,"JUNIOR, Itamar Vieira",TORTO ARADO,1,,29,SÃO PAULO,EMBIRA,2021,DOAÇÃO,100TA,24/06/25,
100.30,"JUNIOR, Itamar Vieira",TORTO ARADO,1,,30,SÃO PAULO,EMBIRA,2021,DOAÇÃO,100TA,24/06/25,
100.31,"JUNIOR, Itamar Vieira",TORTO ARADO,1,,31,SÃO PAULO,EMBIRA,2021,DOAÇÃO,100TA,24/06/25,
100.32,"JUNIOR, Itamar Vieira",TORTO ARADO,1,,32,SÃO PAULO,EMBIRA,2021,DOAÇÃO,100TA,24/06/25,
100.33,"JUNIOR, Itamar Vieira",TORTO ARADO,1,,33,SÃO PAULO,EMBIRA,2021,DOAÇÃO,100TA,24/06/25,
100.34,"JUNIOR, Itamar Vieira",TORTO ARADO,1,,34,SÃO PAULO,EMBIRA,2021,DOAÇÃO,100TA,24/06/25,
100.35,"JUNIOR, Itamar Vieira",TORTO ARADO,1,,35,SÃO PAULO,EMBIRA,2021,DOAÇÃO,100TA,24/06/25,
100.36,"JUNIOR, Itamar Vieira",TORTO ARADO,1,,36,SÃO PAULO,EMBIRA,2021,DOAÇÃO,100TA,24/06/25,
100.37,"JUNIOR, Itamar Vieira",TORTO ARADO,1,,37,SÃO PAULO,EMBIRA,2021,DOAÇÃO,100TA,24/06/25,
100.38,"JUNIOR, Itamar Vieira",TORTO ARADO,1,,38,SÃO PAULO,EMBIRA,2021,DOAÇÃO,100TA,24/06/25,
100.39,"JUNIOR, Itamar Vieira",TORTO ARADO,1,,39,SÃO PAULO,EMBIRA,2021,DOAÇÃO,100TA,24/06/25,
100.40,"JUNIOR, Itamar Vieira",TORTO ARADO,1,,40,SÃO PAULO,EMBIRA,2021,DOAÇÃO,100TA,24/06/25,
100.41,"JUNIOR, Itamar Vieira",TORTO ARADO,1,,41,SÃO PAULO,EMBIRA,2021,DOAÇÃO,100TA,24/06/25,
100.42,"JUNIOR, Itamar Vieira",TORTO ARADO,1,,42,SÃO PAULO,EMBIRA,2021,DOAÇÃO,100TA,24/06/25,
100.43,"JUNIOR, Itamar Vieira",TORTO ARADO,1,,43,SÃO PAULO,EMBIRA,2021,DOAÇÃO,100TA,24/06/25,
100.44,"JUNIOR, Itamar Vieira",TORTO ARADO,1,,44,SÃO PAULO,EMBIRA,2021,DOAÇÃO,100TA,24/06/25,
100.45,"JUNIOR, Itamar Vieira",TORTO ARADO,1,,45,SÃO PAULO,EMBIRA,2021,DOAÇÃO,100TA,24/06/25,
100.46,"JUNIOR, Itamar Vieira",TORTO ARADO,1,,46,SÃO PAULO,EMBIRA,2021,DOAÇÃO,100TA,24/06/25,
100.47,"JUNIOR, Itamar Vieira",TORTO ARADO,1,,47,SÃO PAULO,EMBIRA,2021,DOAÇÃO,100TA,24/06/25,
100.48,"JUNIOR, Itamar Vieira",TORTO ARADO,1,,48,SÃO PAULO,EMBIRA,2021,DOAÇÃO,100TA,24/06/25,
100.49,"JUNIOR, Itamar Vieira",TORTO ARADO,1,,49,SÃO PAULO,EMBIRA,2021,DOAÇÃO,100TA,24/06/25,
100.50,"JUNIOR, Itamar Vieira",TORTO ARADO,1,,50,SÃO PAULO,EMBIRA,2021,DOAÇÃO,100TA,24/06/25,
100.51,"JUNIOR, Itamar Vieira",TORTO ARADO,1,,51,SÃO PAULO,EMBIRA,2021,DOAÇÃO,100TA,24/06/25,
100.52,"JUNIOR, Itamar Vieira",TORTO ARADO,1,,52,SÃO PAULO,EMBIRA,2021,DOAÇÃO,100TA,24/06/25,
100.53,"JUNIOR, Itamar Vieira",TORTO ARADO,1,,53,SÃO PAULO,EMBIRA,2021,DOAÇÃO,100TA,24/06/25,
100.54,"JUNIOR, Itamar Vieira",TORTO ARADO,1,,54,SÃO PAULO,EMBIRA,2021,DOAÇÃO,100TA,24/06/25,
100.55,"JUNIOR, Itamar Vieira",TORTO ARADO,1,,55,SÃO PAULO,EMBIRA,2021,DOAÇÃO,100TA,24/06/25,
100.56,"JUNIOR, Itamar Vieira",TORTO ARADO,1,,56,SÃO PAULO,EMBIRA,2021,DOAÇÃO,100TA,24/06/25,
100.57,"JUNIOR, Itamar Vieira",TORTO ARADO,1,,57,SÃO PAULO,EMBIRA,2021,DOAÇÃO,100TA,24/06/25,
100.58,"JUNIOR, Itamar Vieira",TORTO ARADO,1,,58,SÃO PAULO,EMBIRA,2021,DOAÇÃO,100TA,24/06/25,
100.59,"JUNIOR, Itamar Vieira",TORTO ARADO,1,,59,SÃO PAULO,EMBIRA,2021,DOAÇÃO,100TA,24/06/25,
100.60,"JUNIOR, Itamar Vieira",TORTO ARADO,1,,60,SÃO PAULO,EMBIRA,2021,DOAÇÃO,100TA,24/06/25,
100.61,"JUNIOR, Itamar Vieira",TORTO ARADO,1,,61,SÃO PAULO,EMBIRA,2021,DOAÇÃO,100TA,24/06/25,
100.62,"JUNIOR, Itamar Vieira",TORTO ARADO,1,,62,SÃO PAULO,EMBIRA,2021,DOAÇÃO,100TA,24/06/25,
100.63,"JUNIOR, Itamar Vieira",TORTO ARADO,1,,63,SÃO PAULO,EMBIRA,2021,DOAÇÃO,100TA,24/06/25,
100.64,"JUNIOR, Itamar Vieira",TORTO ARADO,1,,64,SÃO PAULO,EMBIRA,2021,DOAÇÃO,100TA,24/06/25,
100.65,"JUNIOR, Itamar Vieira",TORTO ARADO,1,,65,SÃO PAULO,EMBIRA,2021,DOAÇÃO,100TA,24/06/25,
100.66,"JUNIOR, Itamar Vieira",TORTO ARADO,1,,66,SÃO PAULO,EMBIRA,2021,DOAÇÃO,100TA,24/06/25,
100.67,"JUNIOR, Itamar Vieira",TORTO ARADO,1,,67,SÃO PAULO,EMBIRA,2021,DOAÇÃO,100TA,24/06/25,
100.68,"JUNIOR, Itamar Vieira",TORTO ARADO,1,,68,SÃO PAULO,EMBIRA,2021,DOAÇÃO,100TA,24/06/25,
100.69,"JUNIOR, Itamar Vieira",TORTO ARADO,1,,69,SÃO PAULO,EMBIRA,2021,DOAÇÃO,100TA,24/06/25,
100.70,"JUNIOR, Itamar Vieira",TORTO ARADO,1,,70,SÃO PAULO,EMBIRA,2021,DOAÇÃO,100TA,24/06/25,
100.71,"JUNIOR, Itamar Vieira",TORTO ARADO,1,,71,SÃO PAULO,EMBIRA,2021,DOAÇÃO,100TA,24/06/25,
100.72,"JUNIOR, Itamar Vieira",TORTO ARADO,1,,72,SÃO PAULO,EMBIRA,2021,DOAÇÃO,100TA,24/06/25,
100.73,"JUNIOR, Itamar Vieira",TORTO ARADO,1,,73,SÃO PAULO,EMBIRA,2021,DOAÇÃO,100TA,24/06/25,
100.74,"JUNIOR, Itamar Vieira",TORTO ARADO,1,,74,SÃO PAULO,EMBIRA,2021,DOAÇÃO,100TA,24/06/25,
100.75,"JUNIOR, Itamar Vieira",TORTO ARADO,1,,75,SÃO PAULO,EMBIRA,2021,DOAÇÃO,100TA,24/06/25,
100.76,"JUNIOR, Itamar Vieira",TORTO ARADO,1,,76,SÃO PAULO,EMBIRA,2021,DOAÇÃO,100TA,24/06/25,
100.77,"JUNIOR, Itamar Vieira",TORTO ARADO,1,,77,SÃO PAULO,EMBIRA,2021,DOAÇÃO,100TA,24/06/25,
100.78,"JUNIOR, Itamar Vieira",TORTO ARADO,1,,78,SÃO PAULO,EMBIRA,2021,DOAÇÃO,100TA,24/06/25,
100.79,"JUNIOR, Itamar Vieira",TORTO ARADO,1,,79,SÃO PAULO,EMBIRA,2021,DOAÇÃO,100TA,24/06/25,
100.80,"JUNIOR, Itamar Vieira",TORTO ARADO,1,,80,SÃO PAULO,EMBIRA,2021,DOAÇÃO,100TA,24/06/25,
100.81,"JUNIOR, Itamar Vieira",TORTO ARADO,1,,81,SÃO PAULO,EMBIRA,2021,DOAÇÃO,100TA,24/06/25,
100.82,"JUNIOR, Itamar Vieira",TORTO ARADO,1,,82,SÃO PAULO,EMBIRA,2021,DOAÇÃO,100TA,24/06/25,
100.83,"JUNIOR, Itamar Vieira",TORTO ARADO,1,,83,SÃO PAULO,EMBIRA,2021,DOAÇÃO,100TA,24/06/25,
100.84,"JUNIOR, Itamar Vieira",TORTO ARADO,1,,84,SÃO PAULO,EMBIRA,2021,DOAÇÃO,100TA,24/06/25,
100.85,"JUNIOR, Itamar Vieira",TORTO ARADO,1,,85,SÃO PAULO,EMBIRA,2021,DOAÇÃO,100TA,24/10/25,
100.86,"JUNIOR, Itamar Vieira",TORTO ARADO,1,,86,SÃO PAULO,EMBIRA,2021,DOAÇÃO,100TA,24/10/25,
100.87,,,,,,,,,,,,
100.88,,,,,,,,,,,,
100.89,,,,,,,,,,,,
100.90,MACHADO.A.,A CAUSA SECRETA,1,,1,SÃO PAULO,CASA DAS LETRAS,2021,DOAÇÃO,100CS,31/07/25,
100.91,MACHADO.A.,A CAUSA SECRETA,1,,2,SÃO PAULO,CASA DAS LETRAS,2021,DOAÇÃO,100CS,31/07/25,
100.92,MACHADO.A.,A CAUSA SECRETA,1,,3,SÃO PAULO,CASA DAS LETRAS,2021,DOAÇÃO,100CS,31/07/25,
100.93,MACHADO.A.,A CAUSA SECRETA,1,,4,SÃO PAULO,CASA DAS LETRAS,2021,DOAÇÃO,100CS,31/07/25,
100.94,MACHADO.A.,A CAUSA SECRETA,1,,5,SÃO PAULO,CASA DAS LETRAS,2021,DOAÇÃO,100CS,31/07/25,
100.95,MACHADO.A.,A CAUSA SECRETA,1,,6,SÃO PAULO,CASA DAS LETRAS,2021,DOAÇÃO,100CS,31/07/25,
100.96,MACHADO.A.,A CAUSA SECRETA,1,,7,SÃO PAULO,CASA DAS LETRAS,2021,DOAÇÃO,100CS,31/07/25,
100.97,MACHADO.A.,A CAUSA SECRETA,1,,8,SÃO PAULO,CASA DAS LETRAS,2021,DOAÇÃO,100CS,31/07/25,
100.98,MACHADO.A.,A CAUSA SECRETA,1,,9,SÃO PAULO,CASA DAS LETRAS,2021,DOAÇÃO,100CS,31/07/25,
100.99,MACHADO.A.,A CAUSA SECRETA,1,,10,SÃO PAULO,CASA DAS LETRAS,2021,DOAÇÃO,100CS,31/07/25,
100.100,MACHADO.A.,A CAUSA SECRETA,1,,11,SÃO PAULO,CASA DAS LETRAS,2021,DOAÇÃO,100CS,31/07/25,
100.101,MACHADO.A.,A CAUSA SECRETA,1,,12,SÃO PAULO,CASA DAS LETRAS,2021,DOAÇÃO,100CS,31/07/25,
100.102,MACHADO.A.,A CAUSA SECRETA,1,,13,SÃO PAULO,CASA DAS LETRAS,2021,DOAÇÃO,100CS,31/07/25,
